iter	RMSE
0	249.4592399
1	241.8042924
2	233.9082378
3	226.3663339
4	218.929484
5	211.5369139
6	204.7150547
7	198.0196436
8	191.400214
9	185.2722577
10	179.1050134
11	173.2131822
12	167.6076469
13	162.2082018
14	157.2366701
15	152.0556517
16	146.9821003
17	142.1911807
18	137.7070047
19	133.4727871
20	129.4079242
21	125.5941252
22	121.5475681
23	118.0384976
24	114.2318174
25	110.7919058
26	107.5998529
27	104.3798993
28	101.2655365
29	98.38292483
30	95.40758724
31	92.57069578
32	89.89000688
33	87.12616403
34	84.58783981
35	82.03015904
36	79.84811578
37	77.72641156
38	75.55643748
39	73.49187279
40	71.48260966
41	69.60597227
42	67.69897646
43	65.99848108
44	64.15485226
45	62.52050163
46	60.85127194
47	59.15354785
48	57.56932613
49	56.17246702
50	54.82747821
51	53.31882828
52	52.02070039
53	50.787303
54	49.68624946
55	48.47300469
56	47.2973867
57	46.15839539
58	45.17824694
59	44.25843259
60	43.40874865
61	42.50887229
62	41.58277963
63	40.78721552
64	39.83704793
65	38.98021187
66	38.15383787
67	37.35376313
68	36.63622805
69	35.93162055
70	35.27510322
71	34.53818059
72	33.85448516
73	33.25252228
74	32.61023242
75	32.02235705
76	31.45906278
77	30.99058607
78	30.53582199
79	30.06046641
80	29.65906543
81	29.20468968
82	28.69870274
83	28.24768323
84	27.86524124
85	27.44677116
86	27.05849384
87	26.69669504
88	26.31211991
89	25.90525685
90	25.59614629
91	25.28018559
92	25.00345978
93	24.67439411
94	24.40058652
95	24.09650079
96	23.82987339
97	23.56583047
98	23.31194877
99	23.09662015
100	22.87276248
101	22.65041559
102	22.4260254
103	22.25242171
104	22.03161911
105	21.85501561
106	21.63416323
107	21.45940495
108	21.31291875
109	21.12296769
110	20.96586036
111	20.80706179
112	20.66402479
113	20.49621316
114	20.35160912
115	20.19137699
116	20.04728545
117	19.90694578
118	19.78810916
119	19.65923979
120	19.53332264
121	19.39101287
122	19.24616447
123	19.14566934
124	19.00767251
125	18.9021279
126	18.80820088
127	18.72264343
128	18.59903082
129	18.47074082
130	18.34770451
131	18.26885639
132	18.12617182
133	18.04231227
134	17.96120369
135	17.88839366
136	17.78998648
137	17.6843526
138	17.6096056
139	17.53327009
140	17.44712052
141	17.38952544
142	17.28546641
143	17.18350487
144	17.10541051
145	16.9749826
146	16.90706896
147	16.82714572
148	16.7412885
149	16.64595911
150	16.5651004
151	16.49455201
152	16.42938343
153	16.37069265
154	16.32974934
155	16.24736396
156	16.16372507
157	16.09350964
158	16.03346535
159	15.95946675
160	15.89892829
161	15.80652798
162	15.73854073
163	15.63166602
164	15.58686466
165	15.49278671
166	15.41964392
167	15.34982336
168	15.29407768
169	15.23463013
170	15.15933808
171	15.08257934
172	15.03494086
173	14.95721855
174	14.89992313
175	14.86250035
176	14.75740428
177	14.70940704
178	14.61012204
179	14.56123822
180	14.52478986
181	14.48700759
182	14.42596831
183	14.35828328
184	14.28950232
185	14.20836442
186	14.16364464
187	14.11306502
188	14.08161893
189	14.03670604
190	13.97947283
191	13.91360054
192	13.84042995
193	13.79066574
194	13.7610413
195	13.67591024
196	13.61396674
197	13.58025698
198	13.52944153
199	13.48020568
200	13.43637627
201	13.37243373
202	13.33073428
203	13.26746872
204	13.24749845
205	13.20049347
206	13.13512478
207	13.08782714
