iter	Passed	Remaining
0	6	6316
1	11	5870
2	16	5616
3	21	5469
4	27	5515
5	33	5479
6	38	5454
7	43	5439
8	48	5384
9	54	5376
10	60	5421
11	65	5403
12	70	5382
13	76	5387
14	82	5386
15	87	5352
16	91	5314
17	97	5294
18	102	5268
19	107	5264
20	112	5232
21	116	5187
22	121	5150
23	126	5127
24	130	5103
25	135	5071
26	140	5047
27	144	5022
28	149	4995
29	153	4972
30	158	4958
31	163	4934
32	167	4916
33	173	4919
34	178	4907
35	182	4896
36	187	4885
37	192	4876
38	197	4868
39	202	4859
40	207	4854
41	212	4852
42	217	4849
43	222	4836
44	227	4819
45	231	4807
46	236	4792
47	240	4777
48	245	4762
49	250	4750
50	254	4740
51	259	4728
52	263	4711
53	268	4698
54	272	4689
55	277	4682
56	282	4673
57	287	4665
58	291	4655
59	296	4645
60	301	4636
61	305	4629
62	310	4618
63	315	4609
64	319	4602
65	324	4591
66	328	4581
67	333	4577
68	338	4570
69	343	4559
70	347	4552
71	353	4550
72	357	4545
73	362	4540
74	368	4539
75	372	4533
76	377	4529
77	383	4532
78	388	4525
79	393	4521
80	397	4512
81	402	4508
82	407	4504
83	412	4502
84	417	4499
85	422	4492
86	427	4487
87	432	4482
88	437	4479
89	442	4478
90	447	4473
91	452	4468
92	457	4463
93	462	4459
94	467	4450
95	471	4443
96	476	4433
97	481	4432
98	486	4427
99	491	4425
100	496	4417
101	500	4409
102	505	4400
103	509	4390
104	513	4377
105	517	4365
106	521	4354
107	526	4345
108	530	4337
109	535	4331
110	539	4319
111	543	4313
112	548	4304
113	552	4297
114	557	4289
115	561	4282
116	566	4275
117	571	4268
118	575	4262
119	580	4258
120	585	4251
121	589	4244
122	593	4234
123	597	4223
124	601	4213
125	606	4205
126	610	4198
127	614	4187
128	618	4177
129	623	4169
130	627	4160
131	631	4150
132	635	4142
133	639	4133
134	643	4124
135	647	4114
136	651	4106
137	655	4097
138	660	4088
139	664	4079
140	682	4159
141	696	4207
142	706	4231
143	714	4247
