"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 12월 31일","70.82","73.69","73.98","70.51","595.61K","-2.89%"
"2020년 12월 30일","72.93","69.53","73.70","69.28","810.25K","5.83%"
"2020년 12월 29일","68.91","75.44","75.44","67.34","1.20M","-7.00%"
"2020년 12월 28일","74.10","74.84","76.17","73.09","881.46K","2.04%"
"2020년 12월 24일","72.62","77.35","77.80","72.04","688.93K","-5.97%"
"2020년 12월 23일","77.23","79.60","80.87","76.82","934.15K","-2.25%"
"2020년 12월 22일","79.01","78.51","80.96","75.30","1.08M","1.92%"
"2020년 12월 21일","77.52","72.00","78.59","70.27","1.65M","2.57%"
"2020년 12월 18일","75.58","73.43","76.63","72.73","4.03M","3.15%"
"2020년 12월 17일","73.27","71.42","73.55","69.61","951.14K","3.68%"
"2020년 12월 16일","70.67","71.01","71.23","67.22","1.11M","-0.56%"
"2020년 12월 15일","71.07","67.30","72.40","66.03","1.98M","9.63%"
"2020년 12월 14일","64.83","64.14","67.82","61.70","2.57M","4.31%"
"2020년 12월 11일","62.15","58.06","62.56","57.34","1.25M","7.43%"
"2020년 12월 10일","57.85","57.93","60.65","57.23","804.17K","-0.92%"
"2020년 12월 09일","58.39","59.61","60.73","57.17","1.11M","-0.87%"
"2020년 12월 08일","58.90","55.51","58.99","54.95","913.78K","6.38%"
"2020년 12월 07일","55.37","59.01","59.19","54.93","1.18M","-6.69%"
"2020년 12월 04일","59.34","59.55","60.35","57.98","728.58K","1.12%"
"2020년 12월 03일","58.68","59.49","60.16","57.50","620.80K","-1.64%"
"2020년 12월 02일","59.66","57.40","60.92","56.62","827.57K","1.97%"
"2020년 12월 01일","58.51","59.73","60.70","58.40","810.99K","0.74%"
"2020년 11월 30일","58.08","61.97","63.61","57.26","1.19M","-6.13%"
"2020년 11월 27일","61.87","59.95","62.18","59.25","623.45K","4.19%"
"2020년 11월 25일","59.38","57.78","61.25","55.83","1.23M","2.13%"
"2020년 11월 24일","58.14","58.52","61.70","56.78","1.27M","0.66%"
"2020년 11월 23일","57.76","55.66","57.95","55.00","735.09K","6.77%"
"2020년 11월 20일","54.10","55.43","56.27","53.51","771.24K","-3.06%"
"2020년 11월 19일","55.81","56.20","56.39","53.52","1.02M","-0.69%"
"2020년 11월 18일","56.20","60.58","60.58","56.20","1.12M","-5.00%"
"2020년 11월 17일","59.16","61.64","62.11","58.90","994.54K","-3.32%"
"2020년 11월 16일","61.19","62.17","62.17","58.54","1.15M","1.46%"
"2020년 11월 13일","60.31","61.09","61.42","59.36","708.06K","1.43%"
"2020년 11월 12일","59.46","63.35","63.35","58.67","969.20K","-6.51%"
"2020년 11월 11일","63.60","61.91","64.37","61.91","1.15M","3.60%"
"2020년 11월 10일","61.39","58.33","62.03","57.25","1.37M","6.16%"
"2020년 11월 09일","57.83","57.61","60.60","56.20","1.85M","7.81%"
"2020년 11월 06일","53.64","55.26","56.47","53.13","2.02M","-6.47%"
"2020년 11월 05일","57.35","53.36","57.97","53.36","1.45M","11.06%"
"2020년 11월 04일","51.64","52.83","53.73","48.63","1.62M","-5.65%"
"2020년 11월 03일","54.73","56.75","58.01","53.90","755.49K","-1.35%"
"2020년 11월 02일","55.48","57.46","57.62","53.84","929.55K","-1.63%"
"2020년 10월 30일","56.40","57.00","58.30","54.53","804.68K","-1.64%"
"2020년 10월 29일","57.34","55.06","57.75","54.04","580.71K","3.97%"
"2020년 10월 28일","55.15","57.08","58.22","53.95","993.54K","-6.72%"
"2020년 10월 27일","59.12","57.12","59.78","55.62","618.50K","3.19%"
"2020년 10월 26일","57.29","58.00","58.63","55.34","1.09M","-2.63%"
"2020년 10월 23일","58.84","63.25","63.97","58.01","1.08M","-4.88%"
"2020년 10월 22일","61.86","59.56","62.86","59.50","1.05M","3.88%"
"2020년 10월 21일","59.55","60.25","61.17","57.87","1.20M","0.81%"
"2020년 10월 20일","59.07","56.23","59.80","56.09","1.07M","6.64%"
"2020년 10월 19일","55.39","56.28","56.99","54.39","608.16K","-0.86%"
"2020년 10월 16일","55.87","57.50","57.77","54.82","969.52K","-1.88%"
"2020년 10월 15일","56.94","53.56","57.16","53.56","1.20M","0.80%"
"2020년 10월 14일","56.49","59.62","59.81","56.42","1.20M","-3.09%"
"2020년 10월 13일","58.29","62.08","62.08","57.00","1.69M","-7.67%"
