"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 12월 31일","42.44","42.92","43.32","42.06","387.74K","-0.79%"
"2021년 12월 30일","42.78","42.19","43.55","42.19","711.78K","1.35%"
"2021년 12월 29일","42.21","42.40","42.96","41.12","461.76K","-0.31%"
"2021년 12월 28일","42.34","42.50","42.91","41.27","447.07K","-0.19%"
"2021년 12월 27일","42.42","41.88","42.52","40.65","393.57K","1.60%"
"2021년 12월 23일","41.75","43.42","43.46","41.55","419.09K","-1.60%"
"2021년 12월 22일","42.43","43.38","43.56","42.10","445.33K","-2.10%"
"2021년 12월 21일","43.34","42.12","43.50","41.92","614.71K","3.93%"
"2021년 12월 20일","41.70","41.83","42.27","40.27","874.45K","-5.78%"
"2021년 12월 17일","44.26","42.48","44.54","41.88","3.01M","3.68%"
"2021년 12월 16일","42.69","44.20","45.16","42.66","522.10K","-2.89%"
"2021년 12월 15일","43.96","43.41","44.15","41.82","469.12K","1.03%"
"2021년 12월 14일","43.51","43.82","44.50","43.06","540.08K","-1.89%"
"2021년 12월 13일","44.35","44.77","45.34","43.86","535.47K","-1.95%"
"2021년 12월 10일","45.23","45.53","45.77","44.03","596.75K","1.07%"
"2021년 12월 09일","44.75","45.98","46.06","44.23","576.51K","-3.70%"
"2021년 12월 08일","46.47","46.32","47.08","45.79","700.97K","0.82%"
"2021년 12월 07일","46.09","46.80","48.67","45.89","867.74K","0.13%"
"2021년 12월 06일","46.03","46.53","47.26","45.28","653.44K","0.00%"
"2021년 12월 03일","46.03","47.68","48.18","45.34","967.55K","-2.56%"
"2021년 12월 02일","47.24","46.20","47.57","45.64","951.57K","2.21%"
"2021년 12월 01일","46.22","49.65","51.58","46.09","854.56K","-3.26%"
"2021년 11월 30일","47.78","47.70","48.81","46.54","613.21K","-1.77%"
"2021년 11월 29일","48.64","49.28","49.37","47.90","502.14K","1.61%"
"2021년 11월 26일","47.87","47.01","48.18","46.13","459.02K","-2.70%"
"2021년 11월 24일","49.20","49.93","50.50","48.95","321.98K","-1.99%"
"2021년 11월 23일","50.20","50.86","51.63","49.70","498.84K","-0.59%"
"2021년 11월 22일","50.50","49.49","52.05","49.08","705.16K","3.76%"
"2021년 11월 19일","48.67","48.65","49.91","48.30","609.28K","-1.58%"
"2021년 11월 18일","49.45","49.94","51.30","49.25","570.61K","-0.64%"
"2021년 11월 17일","49.77","51.15","51.89","49.23","525.72K","-4.23%"
"2021년 11월 16일","51.97","51.81","52.32","50.61","736.03K","0.00%"
"2021년 11월 15일","51.97","52.88","53.35","51.25","635.66K","-0.86%"
"2021년 11월 12일","52.42","55.46","55.50","52.25","795.82K","-6.12%"
"2021년 11월 11일","55.84","55.21","56.85","54.81","432.83K","0.81%"
"2021년 11월 10일","55.39","56.86","57.50","55.10","737.83K","-3.32%"
"2021년 11월 09일","57.29","59.85","61.69","57.03","884.23K","-3.94%"
"2021년 11월 08일","59.64","59.23","61.12","58.99","606.24K","0.71%"
"2021년 11월 05일","59.22","59.48","61.73","57.94","713.77K","-0.03%"
"2021년 11월 04일","59.24","61.77","63.15","56.82","1.50M","-10.32%"
"2021년 11월 03일","66.06","63.74","66.44","62.01","942.92K","2.28%"
"2021년 11월 02일","64.59","66.00","67.13","64.40","1.01M","-3.24%"
"2021년 11월 01일","66.75","64.35","66.97","64.20","926.63K","4.30%"
"2021년 10월 29일","64.00","61.43","64.22","60.93","972.45K","4.01%"
"2021년 10월 28일","61.53","56.95","61.66","56.95","1.13M","9.27%"
"2021년 10월 27일","56.31","58.00","58.77","56.01","777.48K","-3.97%"
"2021년 10월 26일","58.64","59.26","59.26","57.27","594.60K","-0.91%"
"2021년 10월 25일","59.18","58.59","59.35","57.15","789.68K","2.76%"
"2021년 10월 22일","57.59","54.71","57.68","54.67","878.83K","5.61%"
"2021년 10월 21일","54.53","55.00","56.24","53.69","433.31K","-1.14%"
"2021년 10월 20일","55.16","54.40","55.30","54.05","554.41K","0.69%"
"2021년 10월 19일","54.78","53.81","55.26","53.15","733.84K","2.72%"
"2021년 10월 18일","53.33","53.07","53.38","52.11","585.23K","0.62%"
"2021년 10월 15일","53.00","55.34","55.75","52.94","1.30M","-2.34%"
"2021년 10월 14일","54.27","55.06","55.06","53.00","559.87K","0.91%"
"2021년 10월 13일","53.78","53.01","53.86","51.32","656.33K","0.90%"
"2021년 10월 12일","53.30","54.39","55.53","52.56","621.78K","-2.13%"
"2021년 10월 11일","54.46","55.45","56.70","54.43","933.55K","1.51%"
"2021년 10월 08일","53.65","53.79","55.89","53.62","683.04K","0.24%"
"2021년 10월 07일","53.52","51.96","54.20","51.53","925.96K","4.33%"
"2021년 10월 06일","51.30","52.12","53.24","50.03","995.87K","-3.39%"
"2021년 10월 05일","53.10","51.74","53.35","50.65","945.52K","3.01%"
"2021년 10월 04일","51.55","50.98","51.96","50.33","1.06M","1.10%"
"2021년 10월 01일","50.99","50.58","51.44","49.87","785.16K","1.57%"
"2021년 09월 30일","50.20","48.75","50.26","48.32","788.83K","2.47%"
"2021년 09월 29일","48.99","49.71","50.21","48.31","827.79K","-1.63%"
"2021년 09월 28일","49.80","50.19","51.15","49.26","1.05M","0.04%"
"2021년 09월 27일","49.78","48.13","50.49","48.13","759.32K","5.40%"
"2021년 09월 24일","47.23","48.79","48.81","47.00","712.65K","-3.55%"
"2021년 09월 23일","48.97","47.65","49.19","47.33","1.04M","4.30%"
"2021년 09월 22일","46.95","49.03","49.65","46.61","1.57M","-3.89%"
"2021년 09월 21일","48.85","48.42","49.71","47.75","759.72K","2.54%"
"2021년 09월 20일","47.64","46.62","47.88","46.04","903.27K","-1.22%"
"2021년 09월 17일","48.23","48.54","48.99","47.20","2.03M","-0.68%"
"2021년 09월 16일","48.56","48.51","49.41","48.26","526.24K","-1.14%"
"2021년 09월 15일","49.12","48.43","50.50","48.28","1.01M","2.61%"
