"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 07일","804.58","856.30","866.14","804.57","23.65M","-4.02%"
"2022년 03월 04일","838.29","849.10","855.65","825.16","22.39M","-0.12%"
"2022년 03월 03일","839.29","878.77","886.44","832.60","20.26M","-4.61%"
"2022년 03월 02일","879.89","872.13","886.48","844.27","24.65M","1.80%"
"2022년 03월 01일","864.37","869.68","889.88","853.78","24.72M","-0.70%"
"2022년 02월 28일","870.43","815.01","876.86","814.71","32.77M","7.48%"
"2022년 02월 25일","809.87","809.23","819.50","782.40","25.36M","1.14%"
"2022년 02월 24일","800.77","700.39","802.48","700.00","44.76M","4.81%"
"2022년 02월 23일","764.04","830.43","835.30","760.56","31.07M","-7.00%"
"2022년 02월 22일","821.53","834.13","856.73","801.10","27.39M","-4.14%"
"2022년 02월 18일","856.98","886.00","886.87","837.61","22.83M","-2.21%"
"2022년 02월 17일","876.35","913.26","918.50","874.10","18.19M","-5.09%"
"2022년 02월 16일","923.39","914.05","926.43","901.21","16.95M","0.10%"
"2022년 02월 15일","922.43","900.00","923.00","893.38","18.99M","5.33%"
"2022년 02월 14일","875.76","861.57","898.88","853.15","22.40M","1.83%"
"2022년 02월 11일","860.00","909.63","915.96","850.70","26.55M","-4.93%"
"2022년 02월 10일","904.55","908.37","943.81","896.70","21.72M","-2.95%"
"2022년 02월 09일","932.00","935.00","946.27","920.00","16.98M","1.08%"
"2022년 02월 08일","922.00","905.53","926.29","894.80","16.91M","1.62%"
"2022년 02월 07일","907.34","923.79","947.77","902.71","20.22M","-1.73%"
"2022년 02월 04일","923.32","897.22","936.50","881.17","24.54M","3.61%"
"2022년 02월 03일","891.14","882.00","937.00","880.52","25.79M","-1.60%"
"2022년 02월 02일","905.66","928.18","931.50","889.41","21.78M","-2.75%"
"2022년 02월 01일","931.25","935.21","943.70","905.00","24.14M","-0.58%"
"2022년 01월 31일","936.72","872.71","937.99","862.05","34.63M","10.68%"
"2022년 01월 28일","846.35","831.56","857.50","792.01","44.93M","2.08%"
"2022년 01월 27일","829.10","933.36","935.39","829.00","47.74M","-11.55%"
"2022년 01월 26일","937.41","952.43","987.69","906.00","32.63M","2.07%"
"2022년 01월 25일","918.40","914.20","951.26","903.21","28.26M","-1.25%"
"2022년 01월 24일","930.00","904.76","933.51","851.47","50.37M","-1.47%"
"2022년 01월 21일","943.90","996.34","1,004.55","940.50","34.47M","-5.26%"
"2022년 01월 20일","996.27","1,009.73","1,041.66","994.00","23.10M","0.06%"
"2022년 01월 19일","995.65","1,041.70","1,054.67","995.00","24.87M","-3.38%"
