,,21.12/31,21.09/30,21.06/30,21.03/31,20.12/31,20.09/30,20.06/30,20.03/31,19.12/31,19.09/30,19.06/30,19.03/31,18.12/31,18.09/30,18.06/30,18.03/31,17.12/31,17.09/30,17.06/30,17.03/31,16.12/31,16.09/30,16.06/30,16.03/31,15.12/31,15.09/30,15.06/30,15.03/31,14.12/31,14.09/30,14.06/30,14.03/31,13.12/31,13.09/30,13.06/30,13.03/31,12.12/31,12.09/30,12.06/30,12.03/31,초이스스탁US 프리미엄,프리미엄,무료
0,주당순이익EPS(달러),2.06,1.44,1.02,0.39,0.24,0.27,0.10,0.02,0.13,0.16,-0.46,-0.82,0.17,0.35,-0.84,-0.84,-0.81,-0.74,-0.41,-0.41,-0.15,0.03,-0.42,-0.43,-0.49,-0.36,-0.29,-0.24,-0.17,-0.12,-0.10,-0.08,-0.03,-0.06,-0.05,0.00,-0.16,-0.21,-0.20,-0.17,,,
1,주당순자산BPS(달러),29.80,27.11,25.55,23.95,23.37,17.11,10.62,10.03,7.34,6.73,6.46,5.32,5.71,5.27,4.60,5.26,5.01,5.63,6.18,6.15,6.13,3.60,3.60,1.46,1.65,2.04,1.13,1.31,1.45,1.53,1.53,1.48,1.09,0.93,1.07,0.29,0.22,-0.05,0.12,0.29,,,
2,주당배당금DPS(달러),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
3,주가수익배수PER(배),192.30,221.38,300.22,560.91,927.75,718.98,543.93,-659.88,-87.47,-52.17,-58.91,-49.91,-58.56,-25.21,-21.39,-19.20,-26.67,-40.45,-77.53,-62.24,-47.46,-34.71,-25.26,-29.84,-35.37,-46.73,-65.12,-59.59,-94.84,-149.23,-178.96,-190.13,-249.17,-159.02,-56.39,-14.70,-9.73,-7.96,-9.63,-13.19,,,
4,주가순자산배수PBR(배),35.16,28.38,26.40,27.85,30.10,24.94,20.31,10.36,11.39,7.14,6.79,10.50,11.61,10.02,14.91,10.10,12.35,12.08,11.63,9.02,6.74,11.32,11.28,31.27,29.00,24.02,47.36,28.74,30.59,31.57,31.28,28.16,27.64,41.63,19.71,25.74,30.90,N/A,52.92,25.32,,,
5,주가매출액배수PSR(배),19.72,16.39,15.64,17.84,21.21,14.19,7.79,3.65,3.07,1.77,1.56,2.14,2.66,2.58,4.26,3.61,4.45,5.29,5.90,5.26,4.58,5.12,6.22,7.13,7.77,8.34,9.16,6.75,8.72,10.59,12.23,12.39,9.16,13.78,9.37,4.59,9.33,21.10,21.40,21.01,,,
6,자기자본이익률ROE(%),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
7,총자산이익률ROA(%),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
8,투하자본이익률ROIC(%),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
9,부채비율(%),101.20,108.50,116.50,123.90,127.90,175.60,271.50,289.10,395.90,419.10,432.60,496.70,475.90,519.20,579.60,484.20,543.30,465.40,381.10,378.60,352.40,369.40,369.50,842.80,640.10,470.60,796.40,634.40,533.10,461.00,423.80,385.80,262.30,270.20,199.90,578.50,793.50,N/A,"1,148.70",394.60,,,
10,유동비율(%),137.50,138.50,150.80,166.10,187.50,163.50,125.00,124.30,113.50,107.80,106.20,83.10,83.10,81.00,73.30,73.80,85.60,109.30,97.10,112.50,107.40,126.70,138.20,101.60,99.00,117.40,110.20,133.30,150.90,182.80,218.40,223.30,187.50,104.20,232.20,98.20,97.30,73.80,110.70,152.30,,,
11,이자보상배수(배),37,16,17,6,2,5,2,2,2,1,-1,-3,2,2,-4,-4,-4,-5,-2,-3,-4,2,-5,-6,-7,-6,-7,-4,-3,-1,-1,-4,-2,-5,-1,-47,"-3,496","-1,391","-1,264","-1,366",,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한글로 쉽고 편리한 종목검색,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,투자매력/적정주가 종목진단,,항목제한
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,엄선된 종목추천/포트폴리오,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,투자매력+저평가+수급 승부주,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,취향저격 종목추천 종목캐치,,항목제한
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,나만의 관심종목/원스톱진단,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종목발굴 투자레시피/종목노트,,항목제한
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,관심/추천/업데이트 알림,,
