"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","10,674.00","10,450.00","10,435.00","10,440.00","-","3.12%"
"2022년 03월 03일","10,351.00","10,430.00","10,420.00","10,420.00","69.08K","1.82%"
"2022년 03월 02일","10,166.00","10,230.00","10,220.00","10,220.00","87.56K","1.04%"
"2022년 03월 01일","10,061.50","9,965.00","9,960.00","9,948.00","64.03K","1.80%"
"2022년 02월 28일","9,883.50","9,930.00","9,940.00","9,930.00","45.11K","0.11%"
"2022년 02월 25일","9,873.00","9,865.00","9,861.00","9,860.00","29.04K","0.09%"
"2022년 02월 24일","9,864.00","9,940.00","9,930.00","9,935.00","52.57K","-0.02%"
"2022년 02월 23일","9,866.00","9,935.00","10,034.50","9,859.50","28.64K","-0.49%"
"2022년 02월 22일","9,915.00","9,950.00","9,949.00","9,950.00","32.15K","0.17%"
"2022년 02월 21일","9,898.00","9,910.00","9,905.00","9,910.00","18.06K","-0.58%"
"2022년 02월 18일","9,956.00","9,980.00","9,975.00","9,975.00","32.03K","0.27%"
"2022년 02월 17일","9,929.00","9,940.00","9,895.00","9,900.00","29.10K","-0.64%"
"2022년 02월 16일","9,992.50","10,020.00","10,009.00","10,010.00","25.82K","0.24%"
"2022년 02월 15일","9,968.50","9,965.00","9,955.00","9,960.00","25.59K","0.49%"
"2022년 02월 14일","9,920.00","9,840.00","9,835.00","9,840.00","37.92K","0.60%"
"2022년 02월 11일","9,860.50","9,998.50","10,069.50","9,867.50","57.58K","-3.84%"
"2022년 02월 10일","10,254.00","10,200.00","10,180.00","10,180.00","68.36K","1.94%"
"2022년 02월 09일","10,059.00","9,850.00","9,840.00","9,841.00","52.84K","2.84%"
"2022년 02월 08일","9,781.00","9,725.00","9,720.00","9,718.00","32.53K","0.04%"
"2022년 02월 07일","9,777.50","9,820.00","9,814.50","9,815.00","20.42K","-0.65%"
"2022년 02월 04일","9,841.50","9,845.00","9,835.00","9,835.00","25.17K","0.09%"
"2022년 02월 03일","9,832.50","9,760.00","9,755.00","9,755.00","22.68K","-0.07%"
"2022년 02월 02일","9,839.50","9,860.00","9,845.00","9,845.00","31.20K","1.47%"
"2022년 02월 01일","9,696.50","9,675.00","9,660.00","9,661.00","31.26K","2.00%"
"2022년 01월 31일","9,506.00","9,560.00","9,542.00","9,539.00","32.02K","-0.02%"
"2022년 01월 28일","9,507.50","9,630.00","9,620.00","9,622.00","52.14K","-2.81%"
"2022년 01월 27일","9,782.00","9,835.00","9,835.00","9,835.00","31.83K","-1.36%"
"2022년 01월 26일","9,916.50","9,935.00","9,925.50","9,926.00","35.65K","1.18%"
"2022년 01월 25일","9,801.00","9,710.00","9,705.00","9,710.00","38.76K","0.75%"
"2022년 01월 24일","9,728.00","9,775.00","9,770.00","9,775.00","54.20K","-2.14%"
"2022년 01월 21일","9,941.00","9,930.00","9,921.00","9,921.00","35.41K","-0.49%"
"2022년 01월 20일","9,990.00","9,910.00","9,905.00","9,906.00","38.20K","1.51%"
"2022년 01월 19일","9,841.50","9,795.00","9,783.00","9,785.00","29.98K","1.71%"
"2022년 01월 18일","9,676.00","9,695.00","9,690.00","9,692.00","26.65K","-0.57%"
"2022년 01월 17일","9,731.00","9,665.00","9,659.00","9,660.00","16.25K","0.12%"
"2022년 01월 14일","9,719.50","9,890.00","9,880.00","9,885.00","34.61K","-2.40%"
"2022년 01월 13일","9,958.50","9,980.00","9,960.00","9,965.00","37.78K","-1.05%"
"2022년 01월 12일","10,064.00","9,960.00","9,946.00","9,930.50","66.14K","3.54%"
"2022년 01월 11일","9,719.50","9,645.00","9,635.00","9,631.00","19.14K","1.63%"
"2022년 01월 10일","9,563.50","9,650.00","9,640.00","9,641.00","1.12K","-0.87%"
"2022년 01월 07일","9,647.00","9,600.00","9,595.00","9,593.00","25.26K","1.22%"
"2022년 01월 06일","9,531.00","9,560.00","9,555.00","9,560.00","37.91K","-1.72%"
"2022년 01월 05일","9,698.00","9,765.00","9,755.00","9,759.00","29.37K","-0.72%"
"2022년 01월 04일","9,768.00","9,633.00","9,625.00","9,630.00","32.16K","0.49%"
"2021년 12월 31일","9,720.50","9,690.00","9,681.00","9,681.00","19.35K","0.30%"
"2021년 12월 30일","9,691.50","9,675.00","9,660.00","9,656.00","19.35K","0.11%"
"2021년 12월 29일","9,680.50","9,630.00","9,620.00","9,620.50","26.64K","1.18%"
"2021년 12월 24일","9,568.00","9,570.00","9,565.00","9,566.00","6.55K","-0.46%"
"2021년 12월 23일","9,612.00","9,590.00","9,580.50","9,581.00","21.31K","0.05%"
"2021년 12월 22일","9,607.00","9,620.00","9,610.00","9,610.00","28.78K","0.77%"
"2021년 12월 21일","9,534.00","9,520.00","9,510.50","9,510.00","27.10K","0.93%"
"2021년 12월 20일","9,446.50","9,395.00","9,388.00","9,390.00","16.42K","0.10%"
"2021년 12월 17일","9,437.50","9,535.00","9,530.00","9,495.00","19.21K","-0.74%"
"2021년 12월 16일","9,507.50","9,500.00","9,497.00","9,495.00","44.96K","3.35%"
"2021년 12월 15일","9,199.50","9,285.00","9,280.00","9,280.00","55.75K","-2.26%"
"2021년 12월 14일","9,412.00","9,480.00","9,475.00","9,480.00","21.70K","-0.38%"
