,date,alu_price,alu_vol,alu_change,cu_price,cu_change,REGI_price,REGI_vol,REGI_change
0,2022-03-04,3849.0,,3.57,10674.0,3.12,61.04,4290.0,-0.36
1,2022-03-03,3716.5,106.23,4.13,10351.0,1.82,61.26,5430.0,0.66
2,2022-03-02,3569.0,68.4,2.62,10166.0,1.04,60.86,5040.0,0.18
3,2022-03-01,3478.0,68.56,3.25,10061.5,1.8,60.75,4790.0,-1.22
4,2022-02-28,3368.5,85.69,0.33,9883.5,0.11,61.5,12740.0,40.38
5,2022-02-25,3357.5,57.61,-1.09,9873.0,0.09,43.81,1640.0,1.74
6,2022-02-24,3394.5,106.85,3.1,9864.0,-0.02,43.06,2090.0,4.74
7,2022-02-23,3292.5,50.2,-0.32,9866.0,-0.49,41.11,3340.0,26.03
8,2022-02-22,3303.0,69.13,0.72,9915.0,0.17,32.62,622.43,-2.34
9,2022-02-21,3279.5,28.21,0.52,9898.0,-0.58,,,
10,2022-02-18,3262.5,42.99,-0.17,9956.0,0.27,33.4,475.61,-3.24
11,2022-02-17,3268.0,39.81,0.37,9929.0,-0.64,34.52,372.99,-2.95
12,2022-02-16,3256.0,55.31,1.5,9992.5,0.24,35.57,350.72,-2.15
13,2022-02-15,3208.0,41.55,-0.2,9968.5,0.49,36.35,690.03,2.25
14,2022-02-14,3214.5,55.23,2.49,9920.0,0.6,35.55,654.48,-5.2
15,2022-02-11,3136.5,73.47,-3.51,9860.5,-3.84,37.5,598.57,0.05
16,2022-02-10,3250.5,64.74,-0.47,10254.0,1.94,37.48,1040.0,-0.45
17,2022-02-09,3266.0,51.53,2.61,10059.0,2.84,37.65,880.34,2.93
18,2022-02-08,3183.0,77.23,1.63,9781.0,0.04,36.58,1070.0,-0.95
19,2022-02-07,3132.0,45.88,1.89,9777.5,-0.65,36.93,794.02,-3.02
20,2022-02-04,3074.0,42.23,0.79,9841.5,0.09,38.08,674.08,1.06
21,2022-02-03,3050.0,39.36,2.14,9832.5,-0.07,37.68,614.14,-1.77
22,2022-02-02,2986.0,64.02,-1.53,9839.5,1.47,38.36,725.39,-6.3
23,2022-02-01,3032.5,33.74,0.38,9696.5,2.0,40.94,1400.0,1.69
24,2022-01-31,3021.0,34.83,-2.0,9506.0,-0.02,40.26,1510.0,2.26
25,2022-01-28,3082.5,40.85,-0.52,9507.5,-2.81,39.37,617.26,1.21
26,2022-01-27,3098.5,36.62,0.15,9782.0,-1.36,38.9,729.45,-0.51
27,2022-01-26,3094.0,30.61,0.06,9916.5,1.18,39.1,851.55,-3.29
28,2022-01-25,3092.0,45.24,2.1,9801.0,0.75,40.43,748.41,-1.94
