,date,li_price
0,2015-01-01,38.0
1,2015-01-02,38.0
2,2015-01-05,38.5
3,2015-01-06,38.5
4,2015-01-07,38.5
5,2015-01-08,38.5
6,2015-01-09,38.5
7,2015-01-12,38.5
8,2015-01-13,38.5
9,2015-01-14,39.0
10,2015-01-15,39.0
11,2015-01-16,39.0
12,2015-01-19,39.0
13,2015-01-20,39.0
14,2015-01-21,39.0
15,2015-01-22,39.0
16,2015-01-23,39.0
17,2015-01-26,39.0
18,2015-01-27,39.0
19,2015-01-28,39.0
20,2015-01-29,39.0
21,2015-01-30,39.0
22,2015-02-02,39.0
23,2015-02-03,39.0
24,2015-02-04,39.0
25,2015-02-05,39.0
26,2015-02-06,39.0
27,2015-02-09,39.0
28,2015-02-10,39.0
29,2015-02-11,39.0
30,2015-02-12,39.2
31,2015-02-13,39.3
32,2015-02-20,39.3
33,2015-02-23,39.3
34,2015-02-24,39.3
35,2015-02-25,39.3
36,2015-02-26,39.3
37,2015-02-27,39.3
38,2015-03-02,40.0
39,2015-03-03,40.0
40,2015-03-04,40.5
41,2015-03-05,40.5
42,2015-03-06,40.5
43,2015-03-09,40.5
44,2015-03-10,40.5
45,2015-03-11,40.5
46,2015-03-12,40.5
47,2015-03-13,40.5
48,2015-03-16,40.5
49,2015-03-17,40.5
50,2015-03-18,40.5
51,2015-03-19,40.5
52,2015-03-20,40.5
53,2015-03-23,40.5
54,2015-03-24,40.5
55,2015-03-25,40.5
56,2015-03-26,40.5
57,2015-03-27,40.5
58,2015-03-30,40.5
59,2015-03-31,40.5
60,2015-04-01,40.5
61,2015-04-02,40.5
62,2015-04-03,41.0
63,2015-04-06,41.5
64,2015-04-07,41.5
65,2015-04-08,41.8
66,2015-04-09,42.0
67,2015-04-10,42.0
68,2015-04-13,42.0
69,2015-04-14,42.0
70,2015-04-15,42.5
71,2015-04-16,42.5
72,2015-04-17,42.5
73,2015-04-20,42.5
74,2015-04-21,42.5
75,2015-04-22,42.5
76,2015-04-23,42.5
77,2015-04-24,42.5
78,2015-04-27,42.5
79,2015-04-28,42.5
80,2015-04-29,42.5
81,2015-04-30,42.5
82,2015-05-04,42.5
