,,21.12/31,21.09/30,21.06/30,21.03/31,20.12/31,20.09/30,20.06/30,20.03/31,19.12/31,19.09/30,19.06/30,19.03/31,18.12/31,18.09/30,18.06/30,18.03/31,17.12/31,17.09/30,17.06/30,17.03/31,16.12/31,16.09/30,16.06/30,16.03/31,15.12/31,15.09/30,15.06/30,15.03/31,14.12/31,14.09/30,14.06/30,14.03/31,13.12/31,13.09/30,13.06/30,13.03/31,12.12/31,12.09/30,12.06/30,12.03/31,초이스스탁US 프리미엄,프리미엄,무료
0,매출액,"53,823","46,848","41,862","35,940","31,536","28,176","25,708","26,022","24,578","24,420","24,941","22,593","21,461","17,523","13,684","12,471","11,759","10,755","10,069","8,549","7,000","5,930","4,568","4,253","4,046","3,788","3,703","3,518","3,198","2,857","2,436","2,072","2,013","1,705","1,323",945,413,146,154,185,,,
1,매출원가,"40,217","36,023","32,634","28,329","24,906","22,221","20,625","21,285","20,509","20,299","20,487","18,441","17,419","14,485","11,720","10,460","9,536","8,536","7,662","6,535","5,401","4,547","3,591","3,337","3,123","2,822","2,716","2,531","2,317","2,080","1,809","1,557","1,557","1,381","1,111",829,383,132,114,132,,,
2,매출총이익,"13,606","10,825","9,228","7,611","6,630","5,955","5,083","4,737","4,069","4,121","4,454","4,152","4,042","3,039","1,964","2,012","2,223","2,219","2,407","2,015","1,599","1,383",977,916,924,967,987,987,882,777,628,515,456,324,212,116,30,14,40,54,,,
3,판매관리비,"4,517","3,992","3,886","3,574","3,145","2,875","2,583","2,569","2,646","2,615","2,749","2,853","2,835","2,850","2,773","2,560","2,477","2,250","1,934","1,717","1,432","1,265","1,164","1,045",922,831,749,681,604,508,430,356,286,230,191,167,150,132,122,110,,,
4,연구개발비,"2,593","2,375","2,130","1,833","1,491","1,314","1,282","1,327","1,343","1,354","1,371","1,433","1,460","1,459","1,439","1,423","1,378","1,269","1,152",974,834,779,743,733,718,667,624,550,465,394,314,259,232,232,238,260,274,266,259,236,,,
5,영업이익,"6,523","4,485","3,290","2,305","1,994","1,778","1,230",736,-69,-14,141,-313,-388,"-1,400","-2,352","-1,971","-1,632","-1,301",-680,-677,-667,-661,-930,-862,-717,-531,-387,-245,-187,-125,-117,-100,-61,-139,-217,-311,-394,-384,-340,-293,,,
6,EBITDA,"9,500","7,185","5,721","4,570","4,083","3,760","3,380","2,880","2,087","2,027","2,149","1,732","1,646",743,-364,-132,177,528,987,750,498,83,-363,-368,-334,-208,-97,-6,48,84,58,45,68,-39,-139,-252,-367,-366,-324,-277,,,
7,법인세,699,490,453,359,292,251,91,89,110,90,81,76,58,28,10,12,32,52,60,48,27,21,14,14,13,12,14,12,9,7,4,3,3,1.08,0.42,0.23,0.14,0.40,0.37,0.40,,,
8,중단손익,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9,순이익,"5,519","3,468","2,181","1,143",721,556,368,-144,-862,-827,-659,-969,-976,"-1,792","-2,722","-2,341","-1,962","-1,407",-766,-723,-675,-874,"-1,126","-1,017",-889,-676,-521,-398,-294,-203,-166,-135,-74,-148,-220,-295,-396,-388,-342,-295,,,
0,현금성자산,"17,576","16,065","16,229","17,141","19,384","14,531","8,615","8,080","6,268","5,571","5,083","2,329","3,879","3,126","2,383","2,786","3,523","3,668","3,154","4,096","3,499","3,175","3,318","1,490","1,220","1,452","1,170","1,524","1,917","2,380","2,682","2,402",852,804,754,236,226,113,236,262,,,
1,단기투자,131,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,24,0,25,21,21,18,17,12,189,3,0,0,0,0,0,0,25,,,
2,매출채권등,"1,913","1,962","2,129","1,890","1,886","1,757","1,485","1,274","1,324","1,128","1,147","1,047",949,"1,155",570,653,515,608,454,440,499,327,179,318,169,120,139,200,227,157,97,72,49,48,114,46,27,9,11,14,,,
3,재고자산,"5,757","5,199","4,733","4,132","4,101","4,218","4,018","4,494","3,552","3,581","3,382","3,837","3,113","3,314","3,325","2,566","2,264","2,471","2,438","2,220","2,067","1,605","1,610","1,302","1,278","1,294","1,212","1,055",954,752,597,451,340,348,255,238,269,159,67,55,,,
4,장기투자,"1,260","1,260","1,311","1,331",0,0,0,0,0,653,766,767,820,820,835,884,898,872,831,817,774,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5,유형자산,"31,176","29,248","27,030","24,844","23,375","21,990","20,876","20,468","20,199","19,845","19,601","19,318","19,691","19,734","19,591","19,181","20,492","19,517","18,219","16,555","15,037","7,258","6,527","5,837","5,195","4,465","3,766","3,136","2,596","2,022","1,567","1,301","1,121",923,727,591,562,498,434,376,,,
6,무형자산,457,470,486,505,520,521,508,516,537,537,481,348,350,357,365,408,422,417,425,430,376,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,이연세자산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
8,기타자산,"3,861","3,600","3,228","3,129","2,882","2,674","2,633","2,418","2,429","1,480","1,413","1,267",938,757,841,795,541,553,523,496,411,204,211,221,163,192,160,184,119,109,100,85,51,43,38,33,30,30,29,29,,,
