,date,tesla,tesla_거래량,tesla_volatility,elec_fee,oli_price,oli_price_volatility,carbon_credits,carbon_credits_volatility,EVE종가,EVE거래량,EVE변동률,BYD종가,BYD거래량,BYD변동률,PSI종가,PSI거래량,SOXX종가,SOXX거래량,SOXL종가,SOXL거래량,LIT조정종가,LIT거래량,SGL종가,SGL변동률,li_price,co,co_volatility,희토류가격,nasdaq,nasdaq_거래량,nasdaq_volatility,ssec,ssec_거래량,ssec_volatility,dollar,dollar_volatility,alu_price,alu_vol,alu_change,cu_price,cu_change,REGI_price,REGI_vol,REGI_change,검색량,updown,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
0,2015-03-31,37.75,25130.0,-0.94,6.83,47.6,-2.22,6.92,0.58,20.09,21050.0,-2.9,52.4,18740.0,-0.59,27.0,45.92,94.02,136.34,2.27,6940.0,20.235533,3850.0,81.43,-0.07,40.5,26758.0,-1.47,374.1666666666667,4900.88,509760.0,-0.94,3747.9,56170000.0,-1.02,98.36,0.4,1784.0,40.63,-0.7,6017.0,-1.24,9.22,391.98,-3.56,29,0,3518.0,2531.0,987.0,-245.0,-398.0,6120.0,28.055713473564523,-6.964184195565662,-0.64,-59.59,-7.1
1,2015-04-01,37.52,18970.0,-0.61,6.61,50.09,5.23,7.14,3.18,21.49,25270.0,6.97,57.64,33650.0,10.0,26.7,78.85,93.41,208.45,2.22,12370.0,20.325228,3050.0,81.53,0.12,40.5,26457.0,-1.12,372.5,4880.23,457080.0,-0.42,3810.29,44750000.0,1.66,98.19,-0.17,1776.5,25.83,-0.42,6035.0,0.3,9.6,244.96,4.12,26,0,3520.936507936508,2533.936507936508,987.0,-247.25396825396825,-399.95238095238096,6125.523809523809,28.03346507354305,-7.019530250989709,-0.643015873015873,-59.67777777777778,-7.125396825396825
2,2015-04-02,38.2,25050.0,1.81,6.61,49.14,-1.9,7.15,0.14,21.66,36930.0,0.79,59.84,46840.0,3.82,26.73,66.28,93.2,214.6,2.2,10690.0,20.594316,6350.0,82.23,0.86,40.5,26975.0,1.96,370.8333333333333,4886.94,383830.0,0.14,3825.78,47930000.0,0.41,97.44,-0.76,1780.5,30.82,0.23,5985.0,-0.83,9.36,221.78,-2.5,27,1,3523.873015873016,2536.873015873016,987.0,-249.5079365079365,-401.9047619047619,6131.047619047619,28.011216673521577,-7.0748763064137545,-0.6460317460317461,-59.76555555555556,-7.15079365079365
3,2015-04-06,40.62,62280.0,6.34,6.61,52.14,6.11,7.130000000000001,-0.21,22.385,29255.0,1.0750000000000002,60.115,33075.0,1.13,26.81,53.99,93.61,353.58,2.23,8510.0,20.75577,15150.0,82.775,1.055,41.5,27073.5,1.345,369.1666666666667,4917.32,466900.0,0.62,3893.58,52485000.0,1.465,96.78,0.24,1780.625,24.42,0.12,6020.0,0.17,9.47,253.93,1.18,28,1,3526.809523809524,2539.809523809524,987.0,-251.7619047619048,-403.8571428571428,6136.571428571428,27.988968273500102,-7.130222361837801,-0.6490476190476191,-59.85333333333334,-7.176190476190476
4,2015-04-07,40.65,21740.0,0.07,6.61,53.98,3.53,7.11,-0.56,23.11,21580.0,1.36,60.39,19310.0,-1.56,26.75,20.92,93.65,347.87,2.24,5790.0,20.881346,50750.0,83.32,1.25,41.5,27172.0,0.73,367.5,4910.23,373960.0,-0.14,3961.38,57040000.0,2.52,97.83,1.08,1780.75,18.02,0.01,6055.0,1.17,9.44,268.64,-0.32,27,1,3529.746031746032,2542.746031746032,987.0,-254.015873015873,-405.8095238095238,6142.095238095239,27.96671987347863,-7.185568417261847,-0.6520634920634921,-59.94111111111111,-7.201587301587301
5,2015-04-08,41.53,31520.0,2.16,6.61,50.42,-6.6,7.12,0.14,22.46,19060.0,-2.81,57.88,22120.0,-4.16,26.97,19.21,94.2,292.08,2.28,3950.0,21.222195,34900.0,84.59,1.52,41.8,27671.0,1.84,365.8333333333333,4950.82,409410.0,0.83,3994.81,61810000.0,0.84,97.94,0.11,1766.25,40.62,-0.81,6004.0,-0.84,9.24,292.78,-2.12,32,1,3532.68253968254,2545.68253968254,987.0,-256.26984126984127,-407.7619047619048,6147.619047619048,27.94447147345716,-7.240914472685894,-0.655079365079365,-60.02888888888889,-7.226984126984126
6,2015-04-09,42.02,19000.0,1.18,6.61,50.79,0.73,7.01,-1.54,22.15,18350.0,-1.38,56.0,22490.0,-3.25,27.23,13.7,95.43,199.21,2.37,7360.0,21.455404,12900.0,85.76,1.38,42.0,28672.0,3.62,364.1666666666667,4974.56,387110.0,0.48,3957.53,58520000.0,-0.93,99.16,1.25,1757.0,97.51,-0.52,5995.5,-0.14,9.1,302.42,-1.52,30,1,3535.619047619048,2548.619047619048,987.0,-258.5238095238095,-409.7142857142857,6153.142857142857,27.922223073435685,-7.29626052810994,-0.6580952380952381,-60.11666666666667,-7.252380952380952
7,2015-04-10,42.18,20340.0,0.38,6.61,51.64,1.67,6.94,-1.0,22.78,15750.0,2.84,56.9,15970.0,1.61,27.35,63.85,95.81,88.3,2.39,4250.0,21.38365,13200.0,85.7,-0.07,42.0,28861.0,0.66,362.5,4995.98,341080.0,0.43,4034.31,48430000.0,1.94,99.34,0.18,1759.25,76.07,0.13,6016.5,0.35,9.33,202.63,2.53,27,1,3538.555555555556,2551.555555555556,987.0,-260.77777777777777,-411.6666666666667,6158.666666666667,27.899974673414214,-7.351606583533987,-0.6611111111111111,-60.20444444444445,-7.277777777777778
8,2015-04-13,41.96,18790.0,-0.52,6.61,51.91,0.52,6.8,-2.02,23.02,17380.0,1.05,59.2,21570.0,4.04,27.25,18.0,95.25,145.54,2.35,7760.0,21.527163,13650.0,86.59,1.04,42.0,28897.0,0.12,362.5,4988.25,369220.0,-0.15,4121.71,58980000.0,2.17,99.49,0.15,1759.25,41.73,0.0,5984.0,-0.54,9.1,219.41,-2.47,26,0,3541.492063492064,2554.492063492064,987.0,-263.031746031746,-413.6190476190476,6164.190476190476,27.87772627339274,-7.406952638958033,-0.6641269841269841,-60.29222222222223,-7.303174603174603
9,2015-04-14,41.49,15130.0,-1.12,6.61,53.29,2.66,6.8,0.0,22.73,15270.0,-1.26,57.05,16040.0,-3.63,26.88,27.54,94.28,221.39,2.28,8010.0,21.527163,6050.0,86.73,0.16,42.0,28681.0,-0.6666666666666667,362.5,4977.29,364240.0,-0.22,4135.57,61070000.0,0.34,98.73,-0.76,1789.0,45.93,1.69,5945.0,-0.65,9.27,340.35,1.87,24,0,3544.428571428572,2557.428571428572,987.0,-265.2857142857143,-415.57142857142856,6169.714285714285,27.855477873371267,-7.462298694382079,-0.6671428571428571,-60.38,-7.328571428571428
10,2015-04-15,41.57,9760.0,0.19,6.61,56.39,5.82,6.85,0.74,21.48,16420.0,-5.5,56.0,12810.0,-1.84,27.4,33.33,95.85,148.08,2.4,8970.0,21.796255,8900.0,87.24,0.59,42.5,28465.0,-1.4533333333333336,362.5,5011.02,425850.0,0.68,4084.16,61300000.0,-1.24,98.32,-0.42,1812.0,77.52,1.29,5960.0,0.25,9.23,361.74,-0.43,24,1,3547.3650793650795,2560.3650793650795,987.0,-267.53968253968253,-417.5238095238095,6175.238095238095,27.833229473349792,-7.517644749806125,-0.6701587301587302,-60.46777777777778,-7.353968253968254
11,2015-04-16,41.34,8300.0,-0.55,6.61,56.71,0.57,6.87,0.29,22.05,11790.0,2.65,57.7,15080.0,3.04,27.37,40.57,95.44,174.39,2.36,3700.0,21.832129,11400.0,87.47,0.26,42.5,28249.0,-2.24,362.5,5007.79,383970.0,-0.06,4194.82,55120000.0,2.71,97.42,-0.92,1821.5,30.04,0.52,6086.5,2.12,9.22,182.49,-0.11,25,0,3550.3015873015875,2563.3015873015875,987.0,-269.7936507936508,-419.4761904761905,6180.761904761905,27.81098107332832,-7.572990805230172,-0.6731746031746032,-60.55555555555556,-7.379365079365079
12,2015-04-17,41.36,12350.0,0.05,6.61,55.74,-1.71,6.84,-0.44,21.7,15430.0,-1.59,57.15,16320.0,-0.95,26.88,49.96,94.08,165.9,2.26,9110.0,21.347769,10350.0,86.52,-1.09,42.5,28798.0,1.94,362.5,4931.81,506000.0,-1.52,4287.3,70170000.0,2.2,97.52,0.1,1817.0,22.0,-0.25,6086.5,0.0,8.93,228.57,-3.15,26,1,3553.2380952380954,2566.2380952380954,987.0,-272.04761904761904,-421.4285714285714,6186.285714285715,27.788732673306846,-7.628336860654218,-0.6761904761904762,-60.64333333333334,-7.404761904761904
13,2015-04-20,41.05,12800.0,-0.75,6.61,56.38,1.15,7.13,4.24,21.81,25600.0,0.51,54.8,16910.0,-4.11,27.22,27.01,94.88,132.74,2.32,4410.0,21.527163,3500.0,86.74,0.25,42.5,29595.0,2.77,362.5,4994.6,386630.0,1.27,4217.08,85710000.0,-1.64,97.94,0.43,1812.25,14.26,-0.26,5989.5,-1.59,9.11,155.89,2.02,26,0,3556.174603174604,2569.174603174604,987.0,-274.3015873015873,-423.3809523809524,6191.809523809524,27.76648427328537,-7.683682916078265,-0.6792063492063493,-60.73111111111111,-7.4301587301587295
14,2015-04-21,41.88,17160.0,2.02,6.61,55.26,-1.99,7.08,-0.7,23.89,28480.0,9.54,56.11,12770.0,2.39,27.46,16.38,95.53,151.5,2.37,6060.0,21.509224,1450.0,86.54,-0.23,42.5,29494.0,-0.34,362.5,5014.1,381510.0,0.39,4293.62,63450000.0,1.82,98.0,0.06,1817.75,20.75,0.3,5932.0,-0.96,8.86,194.53,-2.74,25,1,3559.1111111111118,2572.1111111111118,987.0,-276.55555555555554,-425.3333333333333,6197.333333333333,27.7442358732639,-7.739028971502311,-0.6822222222222223,-60.81888888888889,-7.455555555555555
15,2015-04-22,43.89,39320.0,4.8,6.61,56.16,1.63,7.09,0.14,23.74,26960.0,-0.63,57.25,15580.0,2.03,27.65,37.21,96.88,150.25,2.47,9700.0,21.778315,14200.0,87.42,1.02,42.5,29643.0,0.51,362.5,5035.17,398300.0,0.42,4398.49,68030000.0,2.44,97.93,-0.07,1807.25,14.34,-0.58,5910.5,-0.36,8.94,155.32,0.85,28,1,3562.0476190476197,2575.0476190476197,987.0,-278.8095238095238,-427.2857142857143,6202.857142857143,27.72198747324243,-7.794375026926358,-0.6852380952380952,-60.90666666666667,-7.48095238095238
16,2015-04-23,43.72,22060.0,-0.39,6.61,57.74,2.81,7.25,2.26,24.75,22570.0,4.25,62.98,44090.0,10.01,27.16,27.24,95.38,196.35,2.35,11390.0,22.083282,10200.0,88.72,1.49,42.5,29876.0,0.79,362.5,5056.06,435930.0,0.41,4414.51,66730000.00000001,0.36,97.28,-0.66,1777.75,17.2,-1.63,5956.0,0.77,9.14,251.36,2.24,28,0,3564.9841269841268,2577.9841269841268,987.0,-281.06349206349205,-429.2380952380952,6208.380952380952,27.699739073220957,-7.849721082350404,-0.6882539682539682,-60.99444444444445,-7.506349206349206
