,date,tesla,tesla_거래량,tesla_volatility,elec_fee,oil_price,oil_price_volatility,carbon_credits,carbon_credits_volatility,EVE종가,EVE거래량,EVE변동률,BYD종가,BYD거래량,BYD변동률,DRIV종가,DRIV거래량,ACDC종가,ACDC거래량,kars,kars_거래량,kars_volatility,batt,batt_거래량,batt_volatility,PSI종가,PSI거래량,SOXX종가,SOXX거래량,SOXL종가,SOXL거래량,LIT조정종가,LIT거래량,SGL종가,SGL변동률,li_price,co,co_volatility,희토류가격,nasdaq,nasdaq_거래량,nasdaq_volatility,ssec,ssec_거래량,ssec_volatility,dollar,dollar_volatility,alu_price,alu_vol,alu_change,cu_price,cu_change,REGI_price,REGI_vol,REGI_change,snp_500,snp_500_volatility,kodex,kodex_거래량,kodex_volatility,tiger,tiger_거래량,tiger_volatility,tbx,tbx_거래량,tbx_volatility,검색량,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
0,2015-01-02,43.86,23820.0,-1.39,6.67,52.69,-3.44,7.01,-3.31,,,,,,,,,,,,,,,,,25.38,50.19,92.81,221.02,2.25,15980.0,20.181713,3850.0,80.96,0.35,38.0,31641.0,0.79,340.0,4726.81,367740.0,-0.2,,,,91.08,0.9,1828.0,31.38,-1.12,6250.25,-0.55,9.79,436.6,0.82,2058.2,-0.03,,,,,,,,,,22,,,,,,,,,,,
1,2015-01-05,42.02,26840.0,-4.2,6.67,50.04,-5.03,6.9,-1.57,13.38,12570.0,-3.6,40.26,19210.0,5.53,,,,,,,,,,,24.87,78.28,91.06,206.48,2.12,12650.0,19.751169,3050.0,79.68,-1.58,38.5,31385.0,-0.81,340.0,4652.57,476450.0,-1.57,3350.52,53140000.0,3.58,91.38,0.33,1812.25,43.25,-0.86,6142.0,-1.73,9.55,481.67,-2.45,2020.58,-1.83,,,,,,,,,,19,,,,,,,,,,,
2,2015-01-06,42.26,31310.0,0.57,6.67,47.93,-4.22,6.77,-1.88,13.89,9860.0,3.81,40.33,13890.0,0.17,,,,,,,,,,,24.2,74.81,89.03,374.62,1.98,13380.0,19.751169,6350.0,79.24,-0.55,38.5,31385.0,0.0,340.0,4592.74,553620.0,-1.29,3351.45,50170000.0,0.03,91.5,0.13,1780.25,56.01,-1.77,6131.0,-0.18,9.12,534.76,-4.5,2002.61,-0.89,,,,,,,,,,23,,,,,,,,,,,
3,2015-01-07,42.19,14840.0,-0.17,6.67,48.65,1.5,6.78,0.15,13.75,6430.0,-1.01,38.94,11170.0,-3.45,,,,,,,,,,,24.54,24.48,89.91,240.42,2.04,8580.0,19.751169,3000.0,78.95,-0.37,38.5,31385.0,0.0,340.0,4650.47,482510.0,1.26,3373.95,39190000.0,0.67,91.89,0.43,1783.5,61.45,0.18,6125.0,-0.1,9.19,267.66,0.77,2025.9,1.16,,,,,,,,,,22,,,,,,,,,,,
4,2015-01-08,42.12,17210.0,-0.17,6.67,48.79,0.29,6.81,0.44,13.8,5710.0,0.36,38.51,6890.0,-1.1,,,,,,,,,,,25.26,94.51,92.58,211.0,2.22,13880.0,19.984383,3300.0,79.84,1.13,38.5,31384.0,-0.0,340.0,4736.19,548100.0,1.84,3293.46,37110000.0,-2.39,92.37,0.52,1825.5,75.03,2.35,6122.75,-0.04,9.43,359.25,2.61,2062.14,1.79,,,,,,,,,,25,,,,,,,,,,,
5,2015-01-09,41.33,23340.0,-1.88,6.67,48.36,-0.88,6.71,-1.47,13.82,6600.0,0.14,38.44,8520.0,-0.18,,,,,,,,,,,25.4,24.71,92.63,140.31,2.22,11070.0,19.966442,26150.0,80.19,0.44,38.5,31383.0,-0.0,340.0,4704.07,430670.0,-0.68,3285.41,41020000.0,-0.24,91.94,-0.47,1804.25,47.14,-1.16,6101.5,-0.35,9.31,330.18,-1.27,2044.81,-0.84,,,,,,,,,,22,,,,,,,,,,,
6,2015-01-12,40.44,29750.0,-2.15,6.67,46.07,-4.74,6.71,0.0,14.16,7500.0,2.46,39.48,11350.0,2.71,,,,,,,,,,,25.05,42.53,90.85,190.79,2.09,10960.0,20.074081,15250.0,80.49,0.37,38.5,31378.0,-0.02,340.0,4664.71,491280.0,-0.84,3229.32,32210000.0,-1.71,91.98,0.04,1804.75,42.86,0.03,6031.0,-1.16,9.29,309.52,-0.21,2028.26,-0.81,,,,,,,,,,23,,,,,,,,,,,
7,2015-01-13,40.85,22390.0,1.01,6.67,45.89,-0.39,7.29,8.64,14.15,5770.0,-0.07,40.32,13330.0,2.13,,,,,,,,,,,24.83,42.08,89.96,173.58,2.03,12710.0,20.092018,10800.0,80.87,0.47,38.5,30778.0,-1.91,340.0,4661.5,566520.0,-0.07,3235.3,23070000.0,0.19,92.31,0.36,1787.25,48.02,-0.97,5771.25,-4.31,9.2,345.06,-0.97,2023.03,-0.26,,,,,,,,,,23,,,,,,,,,,,
8,2015-01-14,38.54,57760.0,-5.65,6.67,48.48,5.64,7.16,-1.78,14.03,5030.0,-0.85,39.48,6990.0,-2.08,,,,,,,,,,,24.64,42.87,89.45,413.86,2.0,9330.0,19.822929,5000.0,79.56,-1.62,39.0,30777.0,-0.0,340.0,4639.32,527380.0,-0.48,3222.44,24020000.0,-0.4,92.16,-0.16,1771.5,99.91,-0.88,5510.0,-4.53,9.2,309.44,0.0,2011.27,-0.58,,,,,,,,,,28,,,,,,,,,,,
9,2015-01-15,38.37,26080.0,-0.44,6.67,46.25,-4.6,7.12,-0.56,13.86,5490.0,-1.21,39.08,5960.0,-1.01,,,,,,,,,,,24.28,27.74,88.74,221.01,1.95,6770.0,19.679417,28600.0,79.08,-0.6,39.0,30776.0,-0.0,340.0,4570.82,525690.0,-1.48,3336.45,28250000.0,3.54,92.35,0.21,1787.0,51.79,0.87,5650.75,2.55,8.95,278.22,-2.72,1992.67,-0.92,,,,,,,,,,25,,,,,,,,,,,
10,2015-01-16,38.61,18020.0,0.63,6.67,48.69,5.28,7.13,0.14,13.93,5150.0,0.51,39.57,7270.0,1.25,,,,,,,,,,,24.74,13.43,89.71,292.27,2.01,8620.0,19.661474,3700.0,78.84,-0.3,39.0,30775.0,-0.0,340.0,4634.38,548600.0,1.39,3376.49,33990000.0,1.2,92.52,0.18,1843.0,59.02,3.13,5775.5,2.21,9.07,420.92,1.34,2019.42,1.34,,,,,,,,,,24,,,,,,,,,,,
11,2015-01-20,38.39,22520.0,-0.57,6.67,46.39,-2.91,7.16,-0.69,14.19,9360.0,4.11,38.95,8750.0,1.67,,,,,,,,,,,25.03,29.96,90.64,131.8,2.08,9440.0,19.697351,5500.0,79.08,0.03,39.0,30736.0,-0.3833333333333333,340.0,4654.85,473620.0,0.44,3173.05,35710000.0,1.82,93.05,0.57,1844.25,11.26,1.53,5715.0,0.94,9.01,373.4,-0.66,2022.55,0.15,,,,,,,,,,25,,,,,,,,,,,
